tasks_completed_per_day,average_task_time_minutes,distance_travelled_km,payout_amount,customer_rating,login_hours_per_day,device_changes,location_changes,cancellation_rate,late_delivery_rate
27,30,22,1022,4.66,9,1,1,0.11,0.19
28,13,20,1871,3.85,9,1,0,0.07,0.11
39,16,20,2074,4.0,9,1,0,0.06,0.1
26,23,16,2998,3.84,10,0,0,0.03,0.19
31,14,26,2474,4.92,4,0,0,0.02,0.02
39,33,57,2589,3.75,9,1,2,0.07,0.17
5,37,23,2238,4.6,5,0,2,0.13,0.07
39,39,72,593,3.87,5,0,1,0.08,0.14
18,20,73,1673,4.14,9,1,0,0.07,0.08
7,26,74,998,4.99,10,0,2,0.05,0.11
5,14,43,2918,3.65,8,1,0,0.03,0.17
9,29,18,1480,4.82,4,1,0,0.15,0.05
30,12,46,984,4.92,4,0,1,0.01,0.14
18,14,39,1164,4.55,9,1,2,0.05,0.18
31,35,50,1127,3.51,7,0,0,0.12,0.18
13,24,54,2184,4.73,10,1,1,0.08,0.18
19,28,56,1231,4.82,6,1,1,0.05,0.11
19,25,16,691,4.97,10,1,0,0.15,0.16
30,17,23,2268,4.76,8,0,0,0.1,0.1
17,22,57,1744,4.17,4,1,1,0.05,0.1
36,25,15,1570,4.53,6,0,1,0.13,0.07
36,12,43,2674,4.23,9,1,0,0.03,0.07
8,10,55,1195,4.03,11,1,0,0.07,0.03
34,18,68,1639,4.44,8,1,1,0.13,0.12
27,18,79,1063,4.65,4,1,2,0.15,0.08
19,31,17,2913,4.45,9,1,1,0.06,0.05
33,35,33,2940,4.74,5,0,1,0.03,0.04
17,26,76,522,3.76,4,1,2,0.09,0.08
36,33,13,944,4.06,5,1,0,0.14,0.18
11,11,10,1276,3.97,9,0,1,0.1,0.11
26,18,43,2544,3.79,5,1,0,0.09,0.12
32,39,18,1207,4.16,7,0,2,0.05,0.03
6,33,72,932,4.92,11,0,1,0.09,0.11
10,28,19,972,4.31,11,0,0,0.13,0.14
70,1,251,9715,1.6434210658652182,17,3,6,0.4935239463404087,0.7688140762167635
32,14,59,2414,4.03,9,0,0,0.04,0.2
24,18,53,1605,4.42,7,0,0,0.08,0.18
34,22,57,2810,4.03,11,0,0,0.06,0.2
15,10,15,2390,4.31,6,0,0,0.08,0.08
32,34,33,857,3.91,8,0,1,0.02,0.17
29,24,67,1067,4.02,11,0,1,0.06,0.08
37,13,73,979,4.56,6,0,2,0.13,0.15
5,13,65,1366,4.38,10,0,0,0.07,0.19
31,29,21,1528,3.64,7,1,2,0.15,0.05
17,19,44,2313,4.96,6,1,1,0.11,0.05
7,37,15,1917,3.57,11,1,2,0.06,0.04
10,34,74,1207,3.62,8,0,1,0.05,0.16
12,39,69,2973,4.55,8,0,1,0.11,0.14
31,15,77,1550,4.56,4,1,2,0.05,0.11
13,36,38,626,3.53,11,0,1,0.14,0.16
37,33,47,2682,4.46,6,0,1,0.03,0.17
28,21,31,2878,3.55,7,1,2,0.01,0.19
19,39,17,2152,4.94,4,0,2,0.04,0.06
36,29,72,2939,4.54,6,1,0,0.09,0.1
36,25,22,507,3.78,9,1,2,0.13,0.19
28,12,36,1112,3.74,8,0,1,0.03,0.1
16,23,27,1784,4.35,7,0,0,0.09,0.11
6,10,27,1722,4.45,11,0,1,0.03,0.19
7,19,71,1097,4.75,11,1,2,0.09,0.15
21,24,23,2263,4.85,9,0,1,0.01,0.12
6,16,20,885,4.09,6,0,2,0.09,0.08
6,13,26,678,4.77,11,0,2,0.08,0.18
32,23,60,2997,4.31,11,1,2,0.02,0.02
27,33,23,1314,4.21,11,0,0,0.11,0.08
36,25,66,2317,4.55,8,0,2,0.09,0.19
37,23,15,857,3.65,8,1,1,0.1,0.11
5,12,66,2923,3.9,9,0,0,0.08,0.13
23,26,13,1201,4.73,6,0,0,0.11,0.12
6,30,20,2250,4.26,6,1,0,0.08,0.09
30,23,20,1281,4.86,11,0,1,0.14,0.14
36,27,17,581,3.63,7,0,2,0.14,0.16
10,12,68,684,3.97,4,0,0,0.11,0.09
36,39,30,2835,4.03,8,1,2,0.14,0.13
8,31,74,1382,4.13,4,1,2,0.14,0.03
15,28,33,1006,4.98,4,1,1,0.05,0.12
21,12,39,2541,3.97,11,1,0,0.15,0.15
28,21,66,1985,4.28,8,0,1,0.05,0.13
9,31,26,529,4.3,6,1,0,0.01,0.18
38,14,68,2432,4.66,8,0,0,0.14,0.07
10,19,40,2578,4.28,9,0,2,0.04,0.11
68,3,286,10232,1.673254394757771,21,5,5,0.48079974797185066,0.6458529783078302
15,10,57,1696,4.63,11,0,0,0.15,0.15
20,22,32,1651,3.65,11,1,0,0.02,0.1
37,12,79,585,4.95,7,0,2,0.05,0.12
13,28,39,1838,4.77,8,1,0,0.1,0.04
10,20,64,2575,4.08,10,1,0,0.12,0.2
20,25,16,2669,4.59,7,1,0,0.12,0.16
33,15,21,1774,4.64,6,0,1,0.13,0.09
7,33,69,2950,4.78,11,1,0,0.03,0.12
24,12,61,1182,3.78,11,0,0,0.06,0.13
23,28,36,771,4.56,6,0,2,0.11,0.19
30,15,21,2335,3.55,9,1,2,0.11,0.16
7,17,22,2660,3.67,7,0,1,0.05,0.08
23,31,71,2229,4.66,10,1,2,0.05,0.2
24,22,38,1917,4.72,7,0,0,0.05,0.07
36,21,44,518,4.39,8,0,1,0.13,0.12
11,39,69,2375,4.37,6,0,0,0.14,0.15
37,19,38,964,4.62,7,0,0,0.01,0.07
22,12,40,1190,4.86,5,1,0,0.06,0.19
5,13,70,1510,4.13,8,1,1,0.06,0.06
15,10,11,1714,3.67,11,1,2,0.15,0.1
32,22,42,2016,4.76,8,0,2,0.14,0.05
29,33,71,662,4.01,5,0,2,0.1,0.18
93,3,160,7367,2.3901558521983626,21,3,6,0.4700877532390666,0.7439335511355983
35,31,49,794,4.42,11,1,1,0.04,0.03
34,20,58,1078,4.37,6,1,2,0.07,0.03
39,28,41,2267,4.21,7,1,1,0.14,0.09
11,20,47,2085,4.79,7,1,1,0.02,0.11
20,21,22,2849,3.91,6,1,0,0.12,0.03
30,20,63,1831,3.52,10,0,1,0.04,0.04
6,15,22,2671,3.99,11,1,2,0.08,0.04
5,21,48,694,3.51,5,0,2,0.12,0.14
16,36,32,1341,4.32,5,1,1,0.11,0.07
9,18,23,2898,4.07,11,0,1,0.12,0.12
36,34,26,2366,4.72,10,0,1,0.12,0.03
13,19,33,2291,4.7,5,1,1,0.05,0.18
39,12,67,988,4.15,11,0,2,0.06,0.07
23,12,72,2747,3.82,8,0,2,0.12,0.16
20,29,43,2103,4.13,11,0,0,0.02,0.17
7,37,60,945,4.46,10,0,1,0.08,0.2
24,32,19,579,3.79,7,0,2,0.14,0.15
28,25,30,1244,4.66,4,0,1,0.13,0.1
37,12,46,2360,4.0,8,0,2,0.12,0.05
28,19,16,1965,4.9,11,0,0,0.01,0.03
15,33,22,1430,4.27,8,0,2,0.13,0.18
12,20,39,2434,4.77,7,1,2,0.14,0.1
24,17,40,771,4.42,6,1,0,0.1,0.15
39,15,14,1866,4.33,10,0,1,0.05,0.11
29,29,41,2671,4.52,10,1,2,0.08,0.18
86,1,276,8873,2.053995880668058,21,5,7,0.42890220093682646,0.6512655248935963
29,37,31,1185,4.47,7,1,0,0.12,0.04
33,36,73,2226,4.7,6,1,0,0.06,0.16
22,30,53,1151,3.79,7,1,2,0.06,0.07
22,21,49,796,3.92,8,1,1,0.11,0.16
6,25,46,1642,3.84,10,1,2,0.11,0.19
39,27,25,1120,4.7,9,0,2,0.08,0.19
20,22,52,2154,3.63,10,0,2,0.07,0.04
37,31,72,2154,4.69,5,0,0,0.1,0.03
8,12,24,2898,4.08,8,0,1,0.01,0.16
37,24,53,2172,3.62,11,0,2,0.02,0.15
18,31,18,754,4.14,8,0,1,0.09,0.05
25,37,74,1787,3.95,4,1,2,0.04,0.14
77,4,277,10281,1.7359577507919757,20,5,5,0.5278169248608156,0.5240064444559736
12,23,29,1558,4.21,8,0,0,0.12,0.13
11,27,79,1248,3.95,8,1,1,0.11,0.17
7,37,42,1817,4.79,11,1,0,0.14,0.14
21,38,15,1101,4.11,9,1,0,0.03,0.03
37,23,40,1591,4.21,4,1,1,0.05,0.2
73,4,170,11132,1.4523774315572044,17,3,6,0.4323487470058553,0.7984379529500413
26,30,27,610,3.63,9,0,2,0.12,0.09
26,23,37,1330,4.08,9,1,2,0.08,0.04
34,34,77,1165,4.1,10,0,2,0.05,0.05
12,36,74,1566,4.24,10,0,1,0.03,0.07
31,17,54,1374,3.66,10,0,2,0.14,0.16
31,37,67,1817,3.65,10,1,2,0.11,0.14
38,37,56,784,4.12,10,1,0,0.08,0.13
25,32,75,1063,3.55,4,1,1,0.15,0.18
34,24,61,518,3.88,5,0,0,0.13,0.2
37,37,45,1046,3.8,6,1,0,0.03,0.09
32,38,10,547,4.23,10,1,2,0.08,0.09
37,24,48,2268,3.52,11,1,2,0.08,0.15
9,39,10,2542,4.51,9,0,1,0.13,0.14
23,28,23,718,4.78,9,1,0,0.03,0.02
8,35,32,1265,4.56,4,1,2,0.07,0.14
39,29,52,2578,4.73,5,0,0,0.1,0.15
21,15,31,2806,4.46,10,0,2,0.14,0.2
32,28,69,807,4.26,11,0,2,0.14,0.13
34,36,36,2854,3.83,5,0,2,0.08,0.14
33,34,65,1067,3.92,7,0,2,0.09,0.16
10,17,11,1622,3.98,10,1,1,0.13,0.04
65,4,186,9078,1.6166047613612111,22,4,9,0.6136259201795977,0.5605317374062986
28,29,60,730,4.87,9,1,0,0.13,0.12
33,32,28,581,4.85,9,0,1,0.14,0.04
35,38,71,716,3.66,8,0,1,0.13,0.14
39,24,76,834,4.34,6,0,1,0.01,0.06
37,36,72,1058,4.2,4,0,2,0.05,0.12
25,12,14,1373,4.53,8,0,2,0.07,0.07
36,19,70,1252,4.4,6,1,0,0.1,0.04
27,24,16,1093,3.69,9,1,1,0.05,0.07
37,33,59,2322,4.49,7,1,0,0.06,0.1
7,25,55,2178,4.41,4,0,1,0.07,0.11
22,26,23,1052,4.3,5,1,0,0.14,0.05
29,28,78,1982,4.1,5,0,1,0.07,0.08
35,20,74,1282,4.93,8,0,1,0.03,0.17
7,25,74,2634,4.77,8,1,2,0.01,0.18
28,14,66,1012,4.38,4,0,0,0.04,0.12
36,14,71,1483,3.51,5,1,2,0.14,0.11
26,35,29,1086,4.15,10,0,2,0.14,0.12
27,23,35,2001,4.55,10,0,0,0.08,0.06
6,27,53,1455,3.68,8,1,2,0.1,0.2
31,35,76,1242,4.11,11,0,1,0.12,0.15
6,17,79,948,3.79,5,1,1,0.02,0.06
30,14,71,1087,4.01,7,1,1,0.06,0.07
21,16,54,759,3.54,8,1,1,0.1,0.14
76,1,250,9811,1.3493417660744351,22,4,8,0.47641365455949125,0.7813566914727537
13,32,43,1520,4.18,10,1,0,0.11,0.08
33,23,55,2459,4.85,6,1,2,0.06,0.16
30,14,41,1875,4.24,11,1,0,0.14,0.07
39,33,14,1631,4.18,8,1,0,0.1,0.15
29,18,72,2902,4.68,7,1,2,0.13,0.19
28,13,38,2642,3.9,4,0,2,0.06,0.04
17,13,57,1367,3.64,10,0,1,0.01,0.05
11,25,25,590,3.81,5,0,0,0.03,0.19
24,33,34,1979,4.69,10,1,0,0.14,0.06
5,26,38,1454,4.52,11,0,0,0.01,0.02
12,24,61,2931,3.64,9,0,1,0.09,0.18
20,13,55,522,4.5,4,0,0,0.07,0.07
18,15,34,2225,4.9,10,1,0,0.07,0.07
16,25,32,522,3.57,8,0,1,0.07,0.06
27,38,43,2221,4.42,6,1,2,0.02,0.19
19,13,76,2858,4.07,4,0,1,0.03,0.16
32,15,43,1940,4.25,10,1,1,0.02,0.13
38,14,41,1856,4.29,6,1,2,0.02,0.1
6,25,38,1074,4.66,8,0,0,0.02,0.05
36,39,18,2650,4.34,10,1,2,0.11,0.19
27,34,75,1327,4.39,6,1,0,0.03,0.15
26,25,66,688,4.0,6,0,1,0.05,0.07
29,19,48,959,3.69,7,0,0,0.1,0.19
26,18,16,2736,4.52,10,1,1,0.03,0.19
26,13,78,850,3.5,4,1,0,0.14,0.14
10,38,17,1080,3.99,8,0,1,0.08,0.2
19,23,27,2661,3.83,7,1,0,0.14,0.05
37,13,58,2651,4.08,6,0,0,0.04,0.15
12,21,25,1119,3.97,7,1,0,0.01,0.05
9,33,30,2031,4.56,7,1,2,0.09,0.14
8,19,19,1868,3.89,6,0,1,0.06,0.19
10,13,13,2934,4.34,8,0,1,0.09,0.12
36,27,53,2301,4.18,10,1,1,0.08,0.16
34,22,17,1732,4.7,11,1,2,0.07,0.05
39,22,64,972,4.14,5,0,2,0.13,0.13
20,23,28,1358,4.8,7,1,2,0.04,0.03
17,27,73,2940,3.5,4,0,2,0.08,0.03
34,10,49,2212,4.41,6,0,0,0.07,0.13
23,30,60,1015,3.51,5,0,1,0.1,0.12
21,25,18,2893,4.57,11,0,0,0.02,0.08
60,4,201,11130,2.004737648317514,18,5,6,0.7104498312209298,0.6421782557232999
32,31,65,2594,4.07,11,0,2,0.08,0.14
30,34,53,2890,4.07,6,1,0,0.15,0.14
30,14,68,1042,4.77,6,0,1,0.12,0.03
27,38,24,1559,3.65,7,1,2,0.03,0.14
13,15,77,1256,4.5,10,1,0,0.08,0.14
16,15,79,2898,4.97,9,0,0,0.12,0.14
5,12,70,687,3.53,9,0,0,0.08,0.17
5,25,32,2881,4.95,4,1,0,0.06,0.12
38,21,56,982,3.53,6,1,1,0.06,0.19
36,13,26,1739,4.76,6,0,1,0.06,0.2
84,2,240,7498,1.7465487215546303,17,3,8,0.4943849821847946,0.5662540741948233
5,13,63,795,4.99,5,1,2,0.11,0.08
20,10,61,544,4.19,6,0,1,0.1,0.05
9,30,31,2542,4.8,10,0,1,0.05,0.17
26,36,48,674,3.68,6,1,0,0.1,0.05
33,36,22,1869,4.14,7,1,0,0.05,0.05
7,17,75,2603,3.96,9,0,0,0.04,0.19
16,33,61,2888,4.09,6,0,2,0.11,0.12
30,14,23,2300,4.55,10,0,2,0.12,0.07
20,39,72,2409,3.63,7,1,2,0.1,0.19
26,35,37,2274,5.0,4,1,2,0.12,0.15
33,11,55,2420,4.45,7,0,0,0.06,0.12
18,21,37,2761,4.81,10,1,2,0.02,0.08
32,31,11,2022,4.74,9,1,2,0.09,0.14
9,26,26,1257,4.65,5,1,0,0.05,0.15
34,16,68,1920,3.56,6,0,0,0.12,0.15
9,20,61,996,4.27,4,1,1,0.06,0.06
16,13,13,2720,3.99,11,0,0,0.1,0.15
20,14,12,604,3.67,6,1,2,0.09,0.12
30,15,46,978,4.01,6,0,0,0.12,0.17
30,20,33,1922,4.47,10,0,2,0.13,0.13
25,10,44,2981,3.85,11,0,1,0.02,0.05
37,34,11,1192,4.17,9,1,1,0.05,0.08
34,19,42,693,4.11,7,0,1,0.13,0.15
27,29,19,1989,3.58,6,1,2,0.07,0.15
14,33,71,558,4.44,9,1,2,0.08,0.06
9,30,52,2386,4.43,4,1,1,0.04,0.08
38,20,78,977,4.95,10,1,1,0.09,0.02
35,33,68,1626,3.95,9,1,2,0.05,0.08
14,26,18,2468,4.13,9,0,2,0.13,0.02
23,17,69,1091,4.11,9,0,2,0.04,0.18
36,36,72,1338,4.88,10,1,2,0.06,0.14
5,22,61,1845,4.11,8,0,1,0.02,0.19
9,36,32,1048,4.16,9,1,1,0.09,0.18
8,29,39,720,3.88,6,0,0,0.14,0.13
20,27,52,1375,3.5,9,1,0,0.03,0.11
28,36,77,1696,3.67,7,0,2,0.01,0.18
20,31,30,835,4.56,5,1,1,0.07,0.07
6,25,52,724,4.52,6,1,2,0.11,0.06
32,11,16,2582,3.98,9,0,0,0.15,0.09
36,14,25,687,4.21,9,1,2,0.02,0.03
31,27,32,1747,3.95,7,0,0,0.12,0.07
24,12,67,1462,4.6,11,0,0,0.06,0.04
28,36,40,993,4.76,6,0,1,0.03,0.03
16,31,78,2386,4.85,8,0,2,0.04,0.12
39,26,15,810,3.76,8,1,1,0.14,0.15
37,25,74,2104,4.54,4,1,0,0.12,0.12
37,15,68,2063,4.94,8,1,0,0.05,0.03
16,28,37,868,4.48,10,1,2,0.14,0.09
7,16,27,1245,4.03,10,1,2,0.02,0.04
5,27,19,2578,4.45,11,0,2,0.06,0.14
37,23,16,1755,4.53,7,0,2,0.1,0.17
14,15,46,1497,4.1,8,1,0,0.15,0.04
33,17,54,996,3.66,7,1,0,0.08,0.03
17,24,25,2089,4.41,6,0,0,0.12,0.09
16,24,23,1463,4.7,4,1,1,0.14,0.07
35,24,20,2504,5.0,9,1,1,0.01,0.07
6,25,43,1698,3.83,9,0,1,0.05,0.06
39,10,69,2845,4.55,9,1,2,0.02,0.08
27,20,22,2314,3.54,11,0,0,0.12,0.19
21,36,48,1888,4.95,4,0,1,0.09,0.17
30,38,53,1609,3.52,9,0,2,0.02,0.13
12,34,37,1076,4.04,8,1,2,0.07,0.16
33,14,49,553,3.61,10,1,2,0.08,0.02
30,14,25,728,4.43,9,1,0,0.11,0.04
14,38,59,1278,4.01,9,1,2,0.12,0.07
30,37,37,2057,4.6,5,0,1,0.02,0.14
38,30,77,1484,4.23,10,1,2,0.08,0.18
11,15,69,872,4.13,8,1,0,0.03,0.06
8,11,21,968,4.02,9,1,0,0.12,0.05
15,15,25,2967,3.63,5,0,2,0.1,0.17
33,23,62,2349,3.81,8,0,0,0.11,0.09
29,20,63,1031,4.46,7,0,0,0.02,0.15
25,13,58,1923,4.25,7,0,1,0.08,0.12
14,33,45,1707,3.61,9,1,1,0.13,0.05
13,38,71,1061,4.32,9,0,2,0.11,0.15
28,36,35,589,3.58,11,0,0,0.13,0.1
39,34,65,2139,4.27,11,1,0,0.04,0.07
39,18,31,1906,4.95,5,0,0,0.05,0.18
22,33,78,868,3.96,4,0,1,0.07,0.02
36,12,58,1792,4.59,11,1,0,0.08,0.09
28,35,11,514,4.62,5,0,1,0.05,0.07
27,25,62,2891,4.11,6,1,0,0.06,0.03
68,3,249,7820,1.7602869760573756,18,3,6,0.44453770035662465,0.5967845078064205
16,36,29,2445,4.21,5,1,2,0.1,0.05
17,13,39,1559,3.93,10,1,2,0.03,0.11
27,10,76,1416,4.63,11,1,0,0.15,0.07
29,34,68,2752,4.55,10,0,0,0.09,0.17
39,30,75,2174,4.85,6,1,1,0.08,0.06
34,31,12,1275,4.43,6,1,1,0.15,0.15
21,25,65,1580,4.08,11,0,1,0.03,0.06
24,28,26,1633,4.57,10,1,0,0.09,0.03
29,25,61,1185,4.43,11,1,1,0.12,0.07
26,20,16,724,4.42,9,1,0,0.07,0.17
17,35,14,563,4.77,10,1,1,0.11,0.03
23,17,63,2287,4.87,8,0,0,0.14,0.08
16,32,70,1460,3.77,9,1,1,0.05,0.02
23,10,25,1875,3.97,11,1,1,0.04,0.13
16,35,76,2867,4.48,5,1,1,0.06,0.19
13,37,68,856,4.34,10,0,0,0.07,0.09
11,30,56,592,4.48,7,0,2,0.03,0.12
32,35,57,1823,4.15,10,1,2,0.04,0.1
18,18,73,2017,4.12,9,1,0,0.13,0.2
35,37,59,2177,3.68,8,0,0,0.09,0.15
23,36,50,1912,4.44,9,1,2,0.05,0.03
68,2,290,8026,1.5155738692215728,20,4,9,0.7051292932067313,0.591653358445852
9,31,63,2981,4.51,10,1,1,0.12,0.1
39,17,14,1625,4.95,4,0,1,0.06,0.13
16,35,26,1340,3.88,10,1,0,0.12,0.07
29,26,50,1901,3.71,10,1,2,0.09,0.14
25,19,44,2106,3.54,10,0,2,0.11,0.12
27,36,49,1397,4.07,7,1,0,0.06,0.1
20,16,31,991,3.82,6,0,2,0.04,0.12
18,28,57,2032,4.24,4,1,1,0.05,0.18
35,34,62,2939,4.29,10,1,2,0.02,0.06
9,15,19,2477,4.02,10,0,2,0.08,0.16
39,30,27,2298,4.62,8,0,1,0.07,0.02
27,33,58,1994,4.86,9,0,2,0.01,0.04
33,33,39,1851,3.82,6,1,1,0.13,0.19
15,37,28,2568,4.75,9,1,1,0.11,0.15
22,37,64,1620,3.7,6,1,1,0.07,0.13
16,28,69,2338,3.84,6,1,2,0.15,0.08
13,27,30,2163,4.34,7,1,1,0.14,0.05
14,24,35,2897,3.96,8,1,0,0.02,0.09
21,11,37,1045,3.56,8,0,2,0.1,0.13
11,23,48,1098,3.94,9,1,1,0.12,0.13
17,30,42,2579,4.86,11,0,0,0.03,0.05
13,19,49,2544,3.76,10,1,0,0.03,0.1
31,37,38,758,4.65,7,0,1,0.05,0.12
6,25,29,975,4.58,8,0,0,0.05,0.19
9,16,29,2405,3.66,6,1,1,0.15,0.12
33,17,21,1419,3.99,6,0,0,0.12,0.12
23,19,34,2580,3.78,9,1,2,0.02,0.16
12,24,34,887,3.53,11,0,1,0.12,0.1
5,17,13,2361,3.76,6,0,0,0.03,0.09
26,22,13,1297,3.8,8,0,0,0.06,0.13
21,21,18,2117,3.75,5,0,1,0.05,0.16
11,17,24,2425,3.64,4,0,2,0.05,0.13
29,24,35,2315,4.29,5,0,1,0.05,0.05
8,35,41,2127,3.98,7,0,0,0.12,0.09
10,21,61,2771,4.86,5,1,1,0.05,0.11
35,20,41,716,3.78,11,1,2,0.12,0.11
23,28,18,2703,4.4,11,1,0,0.02,0.08
31,23,22,1288,4.85,10,1,2,0.09,0.11
14,36,65,2043,3.57,11,0,2,0.13,0.14
30,27,53,2583,4.27,9,0,0,0.02,0.1
23,22,39,2556,4.18,5,1,2,0.1,0.1
7,13,25,1563,4.89,10,1,0,0.08,0.16
17,26,21,2726,4.5,9,0,2,0.06,0.16
32,28,75,2164,4.02,7,1,2,0.02,0.1
88,1,160,7839,1.605354510361116,16,4,5,0.6316132729330257,0.7253627655953321
94,2,245,8088,1.65479709262778,21,5,5,0.6262922900648358,0.6349322651356181
12,32,33,2189,4.02,8,0,2,0.06,0.08
5,16,21,1947,4.68,10,1,2,0.11,0.03
7,10,69,1014,4.5,7,1,1,0.14,0.17
17,16,69,863,3.51,5,1,2,0.06,0.16
32,35,10,2413,4.8,6,0,1,0.11,0.14
29,16,52,2451,4.1,6,1,0,0.14,0.06
37,29,64,1974,4.47,7,1,0,0.02,0.15
10,16,49,2039,4.1,6,0,0,0.08,0.08
36,17,73,1273,4.82,4,0,1,0.01,0.18
25,25,43,828,4.48,10,1,0,0.13,0.06
20,12,43,1293,4.37,5,0,0,0.05,0.06
25,22,57,1461,4.97,4,0,2,0.06,0.19
15,19,42,2917,3.92,4,0,1,0.11,0.11
39,27,77,1096,3.6,8,1,1,0.12,0.1
23,16,39,2377,4.27,5,0,1,0.07,0.08
24,30,38,1910,4.14,7,1,0,0.1,0.17
76,2,282,7611,1.31555252412326,20,3,8,0.6820542866655772,0.5288516229476972
18,39,43,1070,4.43,10,1,0,0.13,0.08
19,14,24,1561,4.42,8,0,0,0.11,0.04
35,32,62,2068,4.09,4,0,0,0.14,0.11
